,feature_set,case,num_zero
157,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 0, 0, 0)",-10.0
158,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 0, 0, 1)",10.0
159,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 0, 1, -1)",0.0
160,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 0, 1, 0)",-10.0
161,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 0, 1, 1)",0.0
162,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 1, -1, -1)",0.0
163,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 1, -1, 0)",0.0
164,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 1, -1, 1)",0.0
165,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 1, 0, -1)",0.0
166,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 1, 0, 0)",0.0
167,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 1, 0, 1)",0.0
168,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 1, 1, -1)",0.0
169,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 1, 1, 0)",0.0
170,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 1, 1, 1)",0.0
171,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, -1, -1, -1)",0.0
172,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, -1, -1, 0)",0.0
173,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, -1, -1, 1)",0.0
174,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, -1, 0, -1)",0.0
175,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, -1, 0, 0)",-0.6448119717489127
176,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, -1, 0, 1)",0.3010299956639812
177,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, -1, 1, -1)",0.0
178,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, -1, 1, 0)",-10.0
179,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, -1, 1, 1)",0.0
180,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 0, -1, -1)",0.0
181,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 0, -1, 0)",0.0
182,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 0, -1, 1)",0.0
183,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 0, 0, -1)",-10.0
184,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 0, 0, 0)",-10.0
185,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 0, 0, 1)",-10.0
186,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 0, 1, -1)",0.0
187,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 0, 1, 0)",-10.0
188,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 0, 1, 1)",-10.0
189,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 1, -1, -1)",0.0
190,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 1, -1, 0)",0.0
191,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 1, -1, 1)",0.0
192,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 1, 0, -1)",0.0
193,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 1, 0, 0)",0.0
194,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 1, 0, 1)",0.0
195,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 1, 1, -1)",0.0
196,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 1, 1, 0)",0.0
197,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 0, 1, 1, 1)",0.0
198,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, -1, -1, -1)",0.0
199,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, -1, -1, 0)",0.0
200,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, -1, -1, 1)",0.0
201,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, -1, 0, -1)",0.0
202,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, -1, 0, 0)",0.0
203,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, -1, 0, 1)",0.0
204,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, -1, 1, -1)",0.0
205,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, -1, 1, 0)",0.0
