,policy,mean,std,count,sigma,impurity,num_dim,stdb,clf
223,average,0.8582799999999963,0.001550046529702979,1000,0.1,-0.52,2,0.2,SVM
224,ensemble,0.8447199999999961,0.0015312956822463944,1000,0.1,-0.52,2,0.2,SVM
225,plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.3,-0.52,2,0.2,SVM
226,default,0.7594399999999976,0.001580564641064892,1000,0.3,-0.52,2,0.2,SVM
227,augment,0.7643599999999978,0.0016320704807250368,1000,0.3,-0.52,2,0.2,SVM
228,average,0.7599599999999989,0.0021142536433617566,1000,0.3,-0.52,2,0.2,SVM
229,ensemble,0.7644799999999968,0.0015382769243201626,1000,0.3,-0.52,2,0.2,SVM
230,plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.5,-0.52,2,0.2,SVM
231,default,0.7556799999999972,0.00165894234067664,1000,0.5,-0.52,2,0.2,SVM
232,augment,0.7643199999999968,0.0013772561252121712,1000,0.5,-0.52,2,0.2,SVM
233,average,0.7408799999999983,0.002296017704047009,1000,0.5,-0.52,2,0.2,SVM
234,ensemble,0.7626799999999968,0.0014332032904203404,1000,0.5,-0.52,2,0.2,SVM
235,plurality,0.7599999999999928,2.2831836319315643e-16,1000,1.0,-0.52,2,0.2,SVM
236,default,0.7434799999999963,0.0013992310200418806,1000,1.0,-0.52,2,0.2,SVM
237,augment,0.7573999999999946,0.0005837643195509499,1000,1.0,-0.52,2,0.2,SVM
238,average,0.7099599999999984,0.0023451861969358227,1000,1.0,-0.52,2,0.2,SVM
239,ensemble,0.7552799999999953,0.0008565367798613451,1000,1.0,-0.52,2,0.2,SVM
240,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.0,0.0,5,0.2,SVM
241,default,1.0,0.0,1000,0.0,0.0,5,0.2,SVM
242,augment,1.0,0.0,1000,0.0,0.0,5,0.2,SVM
243,average,1.0,0.0,1000,0.0,0.0,5,0.2,SVM
244,ensemble,1.0,0.0,1000,0.0,0.0,5,0.2,SVM
245,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.025,0.0,5,0.2,SVM
246,default,0.9276399999999924,0.000810856268328661,1000,0.025,0.0,5,0.2,SVM
247,augment,0.9393199999999948,0.0008486800680220181,1000,0.025,0.0,5,0.2,SVM
248,average,0.9274799999999924,0.0007760488720769118,1000,0.025,0.0,5,0.2,SVM
249,ensemble,0.9275999999999924,0.0007779750929465878,1000,0.025,0.0,5,0.2,SVM
250,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.05,0.0,5,0.2,SVM
251,default,0.8469599999999968,0.0014972642386032644,1000,0.05,0.0,5,0.2,SVM
252,augment,0.8728399999999958,0.0014120652705623493,1000,0.05,0.0,5,0.2,SVM
253,average,0.852759999999997,0.0014190123311641756,1000,0.05,0.0,5,0.2,SVM
254,ensemble,0.8493199999999969,0.0014587891093868403,1000,0.05,0.0,5,0.2,SVM
255,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.08,0.0,5,0.2,SVM
256,default,0.8384399999999969,0.0019240760038180605,1000,0.08,0.0,5,0.2,SVM
257,augment,0.8556799999999947,0.0019009869413942199,1000,0.08,0.0,5,0.2,SVM
258,average,0.8505199999999965,0.001888092819353568,1000,0.08,0.0,5,0.2,SVM
259,ensemble,0.8463999999999966,0.0019085813272382945,1000,0.08,0.0,5,0.2,SVM
260,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.1,0.0,5,0.2,SVM
261,default,0.915799999999998,0.0015877282137950616,1000,0.1,0.0,5,0.2,SVM
262,augment,0.922319999999997,0.001532633865790049,1000,0.1,0.0,5,0.2,SVM
263,average,0.922479999999998,0.0015448741813611257,1000,0.1,0.0,5,0.2,SVM
264,ensemble,0.921479999999998,0.0015528750822332831,1000,0.1,0.0,5,0.2,SVM
265,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.3,0.0,5,0.2,SVM
266,default,0.6847199999999986,0.002854657715150913,1000,0.3,0.0,5,0.2,SVM
267,augment,0.7133599999999979,0.002725020391875306,1000,0.3,0.0,5,0.2,SVM
268,average,0.7162799999999988,0.002740231827869779,1000,0.3,0.0,5,0.2,SVM
269,ensemble,0.7091999999999978,0.0027480377929918805,1000,0.3,0.0,5,0.2,SVM
270,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.5,0.0,5,0.2,SVM
271,default,0.5748399999999998,0.0033328189392887947,1000,0.5,0.0,5,0.2,SVM
272,augment,0.603040000000001,0.0031144274045252795,1000,0.5,0.0,5,0.2,SVM
273,average,0.5972400000000005,0.003074578903758279,1000,0.5,0.0,5,0.2,SVM
274,ensemble,0.5921600000000002,0.0031408915294227533,1000,0.5,0.0,5,0.2,SVM
275,plurality,0.5199999999999929,2.2480577299018473e-16,1000,1.0,0.0,5,0.2,SVM
276,default,0.5178400000000006,0.0032238063414739,1000,1.0,0.0,5,0.2,SVM
277,augment,0.5374399999999999,0.0031955685031083343,1000,1.0,0.0,5,0.2,SVM
278,average,0.5350800000000008,0.003237634302368912,1000,1.0,0.0,5,0.2,SVM
279,ensemble,0.53088,0.0031527075927153714,1000,1.0,0.0,5,0.2,SVM
280,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.0,-0.84,5,0.2,SVM
281,default,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,5,0.2,SVM
282,augment,1.0,0.0,1000,0.0,-0.84,5,0.2,SVM
283,average,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,5,0.2,SVM
284,ensemble,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,5,0.2,SVM
285,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.025,-0.84,5,0.2,SVM
286,default,0.9199999999999848,4.847374480100858e-16,1000,0.025,-0.84,5,0.2,SVM
287,augment,0.9207999999999852,0.00017717615920713142,1000,0.025,-0.84,5,0.2,SVM
288,average,0.9199999999999848,4.847374480100858e-16,1000,0.025,-0.84,5,0.2,SVM
289,ensemble,0.9199999999999848,4.847374480100858e-16,1000,0.025,-0.84,5,0.2,SVM
290,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.05,-0.84,5,0.2,SVM
291,default,0.9200399999999848,4.0000000000000234e-05,1000,0.05,-0.84,5,0.2,SVM
292,augment,0.9491600000000052,0.0005625040540394444,1000,0.05,-0.84,5,0.2,SVM
293,average,0.9200399999999848,3.9999999999999936e-05,1000,0.05,-0.84,5,0.2,SVM
294,ensemble,0.9200399999999848,3.9999999999999936e-05,1000,0.05,-0.84,5,0.2,SVM
295,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.08,-0.84,5,0.2,SVM
296,default,0.9225199999999868,0.0003074803150514596,1000,0.08,-0.84,5,0.2,SVM
297,augment,0.9543200000000038,0.0007570407589494259,1000,0.08,-0.84,5,0.2,SVM
298,average,0.922599999999986,0.0003119893224732792,1000,0.08,-0.84,5,0.2,SVM
299,ensemble,0.9215199999999854,0.00024196724602339843,1000,0.08,-0.84,5,0.2,SVM
300,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.1,-0.84,5,0.2,SVM
