,feature_set,case,num_zero
138,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 0, 0, -1)",-10.0
139,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 0, 0, 0)",-10.0
140,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 0, 0, 1)",0.0
141,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 0, 1, -1)",-10.0
142,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 0, 1, 0)",-10.0
143,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 0, 1, 1)",-10.0
144,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 1, -1, -1)",0.0
145,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 1, -1, 0)",0.0
146,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 1, -1, 1)",0.0
147,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 1, 0, -1)",0.0
148,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 1, 0, 0)",-10.0
149,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 1, 0, 1)",-10.0
150,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 1, 1, -1)",0.0
151,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 1, 1, 0)",-10.0
152,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 1, 1, 1)",0.0
153,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, -1, -1, -1)",0.0
154,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, -1, -1, 0)",0.0
155,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, -1, -1, 1)",0.0
156,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, -1, 0, -1)",-10.0
157,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, -1, 0, 0)",0.0
158,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, -1, 0, 1)",0.0
159,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, -1, 1, -1)",0.0
160,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, -1, 1, 0)",0.0
161,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, -1, 1, 1)",0.0
162,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 0, -1, -1)",0.0
163,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 0, -1, 0)",0.0
164,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 0, -1, 1)",0.0
165,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 0, 0, -1)",2.443855558952207
166,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 0, 0, 0)",-0.505149978319906
167,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 0, 0, 1)",-10.0
168,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 0, 1, -1)",-10.0
169,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 0, 1, 0)",-10.0
170,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 0, 1, 1)",0.0
171,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 1, -1, -1)",0.0
172,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 1, -1, 0)",0.0
173,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 1, -1, 1)",0.0
174,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 1, 0, -1)",0.0
175,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 1, 0, 0)",0.0
176,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 1, 0, 1)",-10.0
177,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 1, 1, -1)",0.0
178,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 1, 1, 0)",0.0
179,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 0, 1, 1, 1)",0.0
180,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 1, -1, -1, -1)",0.0
181,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 1, -1, -1, 0)",0.0
182,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 1, -1, -1, 1)",0.0
183,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 1, -1, 0, -1)",0.0
184,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 1, -1, 0, 0)",0.0
185,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 1, -1, 0, 1)",0.0
186,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, 1, -1, 1, -1)",0.0
