GENE_ID,TB_HIGH1,TB_HIGH2,TB_HIGH3,TB_LOW1,TB_LOW2,TB_LOW3
Rv1078,67.17348791,85.99980736,41.4955409,58.90025385,25.40394169,110.9440004
Rv1079,45.13218719,46.90898583,53.79051598,41.05169208,29.63793197,55.47200021
Rv1080c,680.1315651,412.7990753,730.7825814,417.6563455,732.4803188,820.6592972
Rv1082,371.553355,311.1629393,346.5646101,249.8798648,231.4581354,326.3058836
Rv1087,90.26437438,45.34535297,86.83326152,76.74881563,55.04187367,21.20988243
Rv1088,4.198342994,9.381797166,2.305307828,26.77284266,0,47.31435312
Rv1090,4.198342994,3.127265722,6.915923484,0,9.879310658,0
Rv1091,77.66934539,128.2178946,82.22264586,130.294501,46.5738931,164.7844712
Rv1092c,15.74378623,9.381797166,36.88492525,14.27884942,127.0197085,6.526117672
Rv1093,234.0576219,268.9448521,252.0469892,82.10338416,217.3448345,259.4131774
Rv1094,3060.592043,2758.248367,3113.702439,2066.863453,2567.209441,2587.605657
Rv1095,1190.230239,1008.543195,1327.088873,1024.507446,879.2586486,913.656474
Rv1099c,58.77680192,10.94543003,45.33772061,99.95194594,132.6650288,88.10258857
Rv1102c,48.28094443,20.32722719,35.34805336,28.55769884,74.80049498,34.26211778
Rv1103c,57.72721617,20.32722719,57.6326957,33.91226737,28.22660188,16.31529418
Rv1107c,16.79337198,7.818164305,19.21089857,10.70913706,5.645320376,55.47200021
Rv1108c,230.9088647,222.0358663,169.0559074,144.5733504,198.9975433,223.5195303
Rv1112,25.19005797,3.127265722,25.35838611,3.569712355,39.51724263,0
Rv1113,4.198342994,0,7.684359426,0,0,32.63058836
Rv1114,3.148757246,6.254531444,6.147487541,0,0,0
Rv1121,215.1650785,397.1627467,255.8891689,246.3101525,303.4359702,238.203295
Rv1122,87.11561713,57.85441586,106.0441601,48.19111679,50.80788338,120.7331769
Rv1123c,19.94212922,31.27265722,42.26397684,0,14.11330094,16.31529418
Rv1124,39.88425845,43.78172011,21.51620639,0,35.28325235,19.57835302
Rv1127c,149.0411763,131.3451603,129.8656743,74.96395945,84.67980564,218.624942
Rv1130,334.8178538,347.1264951,399.5866902,294.5012693,491.1428727,571.0352963
Rv1131,137.4957331,165.7450833,146.0028291,49.97597297,225.812815,181.0997654
Rv1133c,304.3798671,359.635558,360.3964571,421.2260579,481.2635621,195.7835302
Rv1135c,19.94212922,4.690898583,6.915923484,39.2668359,0,32.63058836
Rv1141c,50.38011593,35.9635558,26.89525799,146.3582065,19.75862132,42.41976487
Rv1142c,81.86768839,68.79984589,122.9497508,60.68511003,46.5738931,123.9962358
Rv1143,26.23964371,34.39992294,24.58995016,46.40626061,11.29064075,30.99905894
Rv1145,18.89254347,21.89086005,14.60028291,10.70913706,4.233990282,13.05223534
Rv1146,34.6363297,43.78172011,30.7374377,26.77284266,16.93596113,0
Rv1153c,20.99171497,20.32722719,19.21089857,28.55769884,28.22660188,11.42070593
Rv1159,82.91727414,40.65445439,72.23297861,39.2668359,117.1403978,119.1016475
Rv1160,13.64461473,0,23.82151422,17.84856177,16.93596113,0
Rv1161,2150.601199,2250.067687,2374.467063,1670.625382,2138.165092,2029.622596
Rv1162,578.3217475,528.507907,605.5275228,362.325804,650.6231733,399.7247074
Rv1163,123.8511183,98.50887025,84.52795369,35.69712355,47.9852232,168.04753
Rv1164,118.6031896,92.2543388,121.4128789,132.0793571,59.27586395,78.31341206
Rv1166,100.7602319,87.56344022,119.876007,148.1430627,98.79310658,96.26023566
Rv1168c,168.9833055,373.7082538,172.8980871,233.8161592,197.5862132,327.937413
Rv1172c,86.06603138,109.4543003,56.86425975,0,121.3743881,13.05223534
Rv1173,226.7105217,311.1629393,252.0469892,91.02766505,287.9113392,146.8376476
Rv1175c,97.61147462,286.1448136,106.0441601,83.88824034,173.5936016,52.20894137
Rv1177,119.6527753,106.3270346,130.6341102,67.82453474,148.1896599,176.2051771
Rv1181,1280.494613,1169.59738,1148.811734,1220.841625,827.0394351,739.0828263
Rv1182,210.9667355,204.8359048,211.3198842,108.8762268,173.5936016,63.6296473
Rv1183,520.5945313,447.1989983,507.9361581,221.322166,584.2906589,520.4578843
Rv1185c,614.0076629,503.4897813,627.8121651,483.6960241,690.140416,590.6136493
Rv1187,114.4048466,60.98168158,75.30672238,64.25482239,101.6157668,81.5764709
Rv1189,13.64461473,32.83629008,28.43212988,28.55769884,9.879310658,0
Rv1193,125.9502898,137.5996918,123.7181868,96.38223358,84.67980564,22.84141185
Rv1195,104.9585749,106.3270346,113.7285195,19.63341795,138.3103492,110.9440004
