GENE_ID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25
Rv1690,7.239490382,6.503747814,6.730736879,6.583584964,6.626124303,6.866595943,6.555719583,6.688814765,6.339787023,6.67933932,6.416488105,6.355964836,7.287861208,7.536754876,7.921835134,7.486449907,6.766271549,7.028921002,6.697613158,6.326498055,6.385522693,6.558040735,8.275259843,8.251808866,8.061532384,6.566146853
Rv1691,7.511292044,7.76206536,7.484161046,7.692263546,7.676004963,7.907894106,7.688140661,7.544408073,7.910495648,7.790007724,7.608235927,7.656249464,7.718787924,7.651680449,7.491716352,7.638902741,7.302680029,7.130971736,7.138705718,8.269893208,7.948299376,7.811540334,7.602019399,7.80296311,7.872145706,7.409382854
Rv1692,8.026589388,8.156705149,7.86541569,8.145110835,8.187230859,8.202798474,8.243042837,8.112018088,8.365185875,8.145507144,7.925002575,8.100652058,7.997158851,7.701198232,7.560102214,7.748521065,7.561820588,7.226278228,7.47871972,8.30997699,8.354913301,8.088310055,7.148295486,7.224951782,7.323510223,7.640420815
Rv1693,6.27580912,6.08347599,6.309531368,5.943373502,6.393653549,6.13124952,6.351626132,6.314694492,6.073179134,6.091329947,6.488413573,5.922555992,6.468519497,5.87403472,5.966370142,5.971156766,6.011721999,5.789769201,5.506533719,5.77284279,5.623721781,5.531942704,5.86625893,5.760602155,5.77875313,6.057102077
Rv1694,7.720768296,7.411578236,7.384896353,7.559671901,7.31544905,7.54741501,7.458031196,7.543808238,8.22941462,8.076808464,7.513582729,7.802304134,7.355748833,7.585681977,7.072708975,7.272048213,7.535196104,7.190363085,7.205161294,8.214169141,8.134348197,7.876171497,7.006901997,7.042867335,7.179973637,7.53011425
Rv1695,7.169381662,7.595931703,7.723928948,7.559671901,7.755639187,7.591575408,7.741705374,7.657677154,7.653517921,7.563089829,7.845904082,7.757696911,7.68157243,7.625224057,7.108364924,7.302103029,6.992140293,7.004309171,7.161848844,7.534641015,7.61066641,7.647982565,6.890284495,6.900497664,7.042442276,7.511202262
Rv1696,8.421746291,8.359224567,8.037102288,8.35710239,8.127574259,8.052919609,7.986055033,7.795873374,8.305664487,8.232379526,7.958934793,7.894594293,7.990752298,7.848800964,7.411043235,7.507580171,7.242508674,7.069030062,7.404902645,8.553952748,8.507603017,8.247841299,7.193423071,7.189289782,7.406571533,7.82301087
Rv1697,8.845458557,10.00473647,10.37091182,10.48965473,10.43394291,10.34891943,10.33664504,10.30801044,8.673214341,9.284892413,10.10547565,8.850716913,10.0638691,10.12491612,10.03002323,9.798751758,9.058484637,8.862922611,9.085707193,7.732719538,7.658827915,7.827708342,8.859351724,8.683269169,8.341504194,7.643145225
Rv1698,7.751226135,8.790374982,8.753492974,9.09466674,8.957745276,8.715596543,8.711047166,8.604131422,8.62473185,8.476604436,8.496521037,8.686350119,8.619307539,8.570972612,8.564031567,8.39027511,8.04189559,7.671402483,7.626597005,8.352952099,8.242752292,8.256930324,7.45084115,7.348444953,7.094661417,6.508479839
Rv1699,9.254064975,9.576055077,9.951231881,10.04212615,9.931239762,9.786551487,9.938662671,10.0269423,8.891134311,9.427028008,10.19212626,9.230896418,10.60578585,10.54445126,10.31795538,10.28990455,9.803560992,10.15341668,10.36155117,8.060600753,8.207508527,8.423843929,9.402188382,9.429555738,9.256691636,9.658263707
Rv1700,7.226974089,7.601913239,7.814671544,8.094947682,8.030447694,7.724515111,7.90953339,7.807747916,7.633987266,7.399204675,8.459728759,7.571141921,8.682160549,8.605838738,8.259391311,8.275809725,8.049643509,7.834741079,8.12947272,6.953563654,7.034762004,7.022181334,6.894776029,6.931400542,6.834761196,7.167843975
Rv1701,7.634209953,7.798695879,7.640817572,8.158484162,8.00937186,8.056008048,7.857029956,7.728884662,8.27840126,8.051215643,7.833930927,8.453866971,8.636337892,8.365105251,8.146988386,8.159963567,8.493624342,8.301430589,8.035599767,8.252975441,8.068331636,8.063215586,6.672913862,6.812722596,6.820337663,7.055727166
Rv1702c,7.758459295,7.884379476,7.839652037,7.893706611,7.873112035,7.644940365,7.529019667,7.718359577,9.115885197,8.716989314,7.771758055,9.270319096,7.663730797,7.451331372,7.585605807,7.85541017,8.536825217,8.42059705,7.572429974,9.454279246,9.372732364,9.356507105,7.055852609,7.333712929,7.449344056,7.653180866
Rv1703c,8.103920452,8.766712919,8.910421338,8.85268344,9.005948476,8.710071558,8.799846189,8.633301843,7.551379609,7.984061053,8.493187115,7.245977834,7.894727622,7.992085348,7.782510691,7.845240366,7.661917985,7.692441256,7.575102198,6.939241697,6.726578331,6.834044784,8.519324739,8.599509569,8.62838017,8.852434328
