TF,Gene,Input
Rv0023,Rv3532,1
Rv0023,Rv3573c,1
Rv0023,Rv3574,1
Rv0023,Rv3597c,1
Rv0023,Rv3631,1
Rv0023,Rv3632,1
Rv0023,Rv3645,1
Rv0023,Rv3738c,1
Rv0023,Rv3743c,1
Rv0023,Rv3744,1
Rv0023,Rv3770c,1
Rv0023,Rv3862c,1
Rv0023,Rv3865,1
Rv0023,Rv3866,1
Rv0023,Rv3867,1
Rv0023,Rv3868,1
Rv0023,Rv3869,1
Rv0023,Rv3870,1
Rv0023,Rv3876,1
Rv0023,Rv3877,1
Rv0023,Rv3890c,1
Rv0023,Rv3891c,1
Rv0042c,Rv0112,1
Rv0042c,Rv0830,1
Rv0042c,Rv3477,1
Rv0042c,Rv3478,1
Rv0042c,Rv3738c,1
Rv0043c,Rv3755c,1
Rv0043c,Rv3756c,1
Rv0043c,Rv3757c,1
Rv0043c,Rv3758c,1
Rv0043c,Rv3759c,1
Rv0043c,Rv3760,1
Rv0047c,Rv0002,1
Rv0047c,Rv0003,1
Rv0047c,Rv0004,1
Rv0047c,Rv0005,1
Rv0047c,Rv0006,1
Rv0047c,Rv0046c,1
Rv0047c,Rv0047c,1
Rv0047c,Rv0055,1
Rv0047c,Rv0056,1
Rv0047c,Rv0057,1
Rv0047c,Rv0058,1
Rv0047c,Rv0059,1
Rv0047c,Rv0060,1
Rv0047c,Rv0074,1
Rv0047c,Rv0075,1
Rv0047c,Rv0081,1
Rv0047c,Rv0082,1
Rv0047c,Rv0083,1
Rv0047c,Rv0084,1
Rv0047c,Rv0085,1
Rv0047c,Rv0086,1
Rv0047c,Rv0087,1
Rv0047c,Rv0088,1
Rv0047c,Rv0096,1
Rv0047c,Rv0097,1
Rv0047c,Rv0098,1
Rv0047c,Rv0099,1
Rv0047c,Rv0100,1
Rv0047c,Rv0101,1
Rv0047c,Rv0143c,1
Rv0047c,Rv0147,1
Rv0047c,Rv0148,1
Rv0047c,Rv0149,1
Rv0047c,Rv0151c,1
Rv0047c,Rv0152c,1
Rv0047c,Rv0161,1
Rv0047c,Rv0167,1
Rv0047c,Rv0168,1
Rv0047c,Rv0169,1
Rv0047c,Rv0170,1
Rv0047c,Rv0171,1
Rv0047c,Rv0172,1
Rv0047c,Rv0173,1
Rv0047c,Rv0174,1
Rv0047c,Rv0175,1
