index,siglvl,prior_prob,num_sample,num_pos,instance_str,__col_key__,index
Rv0115[0]+Rv0971c[-1]+Rvnt28[0],0.000886664581110308,0.24,11,8,,1,Rv0115[0]+Rv0971c[-1]+Rvnt28[0]
Rv0115[0]+Rv0991c[0]+Rv1670[-1]+Rv2628[0],0.0001911029760000016,0.24,6,6,,1,Rv0115[0]+Rv0991c[0]+Rv1670[-1]+Rv2628[0]
Rv0115[0]+Rv0992c[-1]+Rv1901[0],4.586471423995153e-05,0.24,7,7,,1,Rv0115[0]+Rv0992c[-1]+Rv1901[0]
Rv0115[0]+Rv1027c[-1]+Rv3599c[-1],0.00030681952772160237,0.24,10,8,,1,Rv0115[0]+Rv1027c[-1]+Rv3599c[-1]
Rv0115[0]+Rv1039c[-1]+Rvnt15[0],0.0007170019184887799,0.24,13,9,,1,Rv0115[0]+Rv1039c[-1]+Rvnt15[0]
Rv0115[0]+Rv1067c[-1]+Rv3017c[0]+Rvnt15[0],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv1067c[-1]+Rv3017c[0]+Rvnt15[0]
Rv0115[0]+Rv1067c[-1]+Rvnt15[0],2.6418075401712926e-06,0.24,9,9,,1,Rv0115[0]+Rv1067c[-1]+Rvnt15[0]
Rv0115[0]+Rv1084[-1]+Rv3657c[-1],0.0002898649939967468,0.24,8,7,,1,Rv0115[0]+Rv1084[-1]+Rv3657c[-1]
Rv0115[0]+Rv1135c[-1]+Rv1871c--Rv1872c[0]+Rv3342[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv1135c[-1]+Rv1871c--Rv1872c[0]+Rv3342[-1]
Rv0115[0]+Rv1145[0]+Rv1657[-1]+Rv2964[0],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv1145[0]+Rv1657[-1]+Rv2964[0]
Rv0115[0]+Rv1186c[-1],0.0007170019184887799,0.24,13,9,,1,Rv0115[0]+Rv1186c[-1]
Rv0115[0]+Rv1322--Rv2194[0]+Rv1406[-1],7.793332243666296e-05,0.24,9,8,,1,Rv0115[0]+Rv1322--Rv2194[0]+Rv1406[-1]
Rv0115[0]+Rv1501[0]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv1501[0]+Rvnt37[-1]
Rv0115[0]+Rv1528c[-1]+Rv1861[0],0.000886664581110308,0.24,11,8,,1,Rv0115[0]+Rv1528c[-1]+Rv1861[0]
Rv0115[0]+Rv1657[-1]+Rv2964[0],2.0711771115400346e-05,0.24,10,9,,1,Rv0115[0]+Rv1657[-1]+Rv2964[0]
Rv0115[0]+Rv1662[-1],0.000504001528832454,0.24,30,16,,1,Rv0115[0]+Rv1662[-1]
Rv0115[0]+Rv1662[-1]+Rv3839[-1],2.5594676828055718e-05,0.24,12,10,,1,Rv0115[0]+Rv1662[-1]+Rv3839[-1]
Rv0115[0]+Rv1719[-1]+Rv2386c[-1],1.5216811433127475e-07,0.24,11,11,,1,Rv0115[0]+Rv1719[-1]+Rv2386c[-1]
Rv0115[0]+Rv1719[-1]+Rv2386c[-1]+Rv3321c[0],4.586471423995153e-05,0.24,7,7,,1,Rv0115[0]+Rv1719[-1]+Rv2386c[-1]+Rv3321c[0]
Rv0115[0]+Rv1722[-1]+Rv2098c[-1],0.0002898649939967468,0.24,8,7,,1,Rv0115[0]+Rv1722[-1]+Rv2098c[-1]
Rv0115[0]+Rv1722[-1]+Rv3698[-1]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv1722[-1]+Rv3698[-1]+Rvnt37[-1]
Rv0115[0]+Rv1754c[0]+Rv2755c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv1754c[0]+Rv2755c[-1]
Rv0115[0]+Rv1786[0]+Rv2385[-1],1.4242935499897413e-06,0.24,12,11,,1,Rv0115[0]+Rv1786[0]+Rv2385[-1]
Rv0115[0]+Rv1786[0]+Rv2385[-1]+Rv3164c[-1],4.586471423995153e-05,0.24,7,7,,1,Rv0115[0]+Rv1786[0]+Rv2385[-1]+Rv3164c[-1]
Rv0115[0]+Rv1871c--Rv1872c[0]+Rv2386c[-1],3.6958591609348446e-07,0.24,13,12,,1,Rv0115[0]+Rv1871c--Rv1872c[0]+Rv2386c[-1]
Rv0115[0]+Rv1871c--Rv1872c[0]+Rv2386c[-1]+Rvnt28[0],1.1007531417583927e-05,0.24,8,8,,1,Rv0115[0]+Rv1871c--Rv1872c[0]+Rv2386c[-1]+Rvnt28[0]
Rv0115[0]+Rv1901[0]+Rv2123[-1]+Rv3072c[-1],0.0001911029760000016,0.24,6,6,,1,Rv0115[0]+Rv1901[0]+Rv2123[-1]+Rv3072c[-1]
Rv0115[0]+Rv1901[0]+Rv3065[-1]+Rv3187[-1],4.586471423995153e-05,0.24,7,7,,1,Rv0115[0]+Rv1901[0]+Rv3065[-1]+Rv3187[-1]
Rv0115[0]+Rv1949c[-1]+Rv3769[0],0.000886664581110308,0.24,11,8,,1,Rv0115[0]+Rv1949c[-1]+Rv3769[0]
Rv0115[0]+Rv1954c[0]+Rv2016[0],0.0008226091347202091,0.24,23,13,,1,Rv0115[0]+Rv1954c[0]+Rv2016[0]
Rv0115[0]+Rv2037c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv2037c[-1]
Rv0115[0]+Rv2037c[-1]+Rv3084[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv2037c[-1]+Rv3084[-1]
Rv0115[0]+Rv2094c[0]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv2094c[0]+Rvnt37[-1]
Rv0115[0]+Rv2098c[-1],9.61965454030489e-05,0.24,27,16,,1,Rv0115[0]+Rv2098c[-1]
Rv0115[0]+Rv2126c[-1],0.0001911029760000016,0.24,6,6,,1,Rv0115[0]+Rv2126c[-1]
