GENE_ID,Start,End,Strand,Length
Rv0208c,248115,248906,-,791
Rv0209,249038,250123,+,1085
Rv0210,250120,251598,+,1478
Rv0211,251782,253602,+,1820
Rv0212c,253669,254640,-,971
Rv0213c,254637,255950,-,1313
Rv0214,256064,257677,+,1613
Rv0215c,257783,258856,-,1073
Rv0216,258913,259926,+,1013
Rv0217c,259923,260831,-,908
Rv0218,260924,262252,+,1328
Rv0219,262254,262802,+,548
Rv0220,262812,264023,+,1211
Rv0221,264067,265476,+,1409
Rv0222,265507,266295,+,788
Rv0223c,266301,267764,-,1463
Rv0224c,267863,268627,-,764
Rv0225,268663,269817,+,1154
Rv0226c,269834,271564,-,1730
Rv0227c,271574,272839,-,1265
Rv0228,273055,274278,+,1223
Rv0229c,274306,274986,-,680
Rv0230c,274983,275963,-,980
Rv0231,276058,277764,+,1706
Rv0232,277899,278588,+,689
Rv0233,278585,279529,+,944
Rv0234c,279605,281140,-,1535
Rv0235c,281166,282614,-,1448
Rv0236A,286898,287071,-,173
Rv0236c,282649,286851,-,4202
Rv0237,287186,288352,+,1166
Rv0238,288428,289042,+,614
Rv0239,289104,289337,+,233
Rv0240,289345,289782,+,437
Rv0241c,289812,290654,-,842
Rv0242c,290665,292029,-,1364
Rv0243,292171,293493,+,1322
Rv0244c,293798,295633,-,1835
Rv0245,296005,296493,+,488
Rv0246,296809,298119,+,1310
Rv0247c,298116,298862,-,746
Rv0248c,298863,300803,-,1940
Rv0249c,300834,301655,-,821
Rv0250c,301735,302028,-,293
Rv0251c,302173,302652,-,479
Rv0252,302866,305427,+,2561
Rv0253,305453,305809,+,356
Rv0254c,305825,306349,-,524
Rv0255c,306374,307858,-,1484
Rv0256c,307877,309547,-,1670
Rv0257,309699,310073,+,374
Rv0258c,310294,310749,-,455
Rv0259c,310774,311517,-,743
Rv0260c,311514,312659,-,1145
Rv0261c,312759,314168,-,1409
Rv0262c,314309,314854,-,545
Rv0263c,314864,315766,-,902
Rv0264c,315783,316415,-,632
Rv0265c,316511,317503,-,992
Rv0266c,317525,321154,-,3629
Rv0267,321331,322722,+,1391
Rv0268c,322764,323273,-,509
Rv0269c,323338,324531,-,1193
Rv0270,324567,326249,+,1682
Rv0271c,326266,328461,-,2195
Rv0272c,328575,329708,-,1133
Rv0273c,329705,330325,-,620
Rv0274,330422,331003,+,581
Rv0275c,330933,331658,-,725
Rv0276,331748,332668,+,920
Rv0277c,332708,333136,-,428
Rv0278c,333437,336310,-,2873
Rv0279c,336560,339073,-,2513
Rv0280,339364,340974,+,1610
Rv0281,340998,341906,+,908
Rv0282,342130,344025,+,1895
Rv0283,344022,345638,+,1616
Rv0284,345635,349627,+,3992
Rv0285,349624,349932,+,308
Rv0286,349935,351476,+,1541
Rv0287,351525,351818,+,293
Rv0288,351848,352138,+,290
Rv0289,352149,353036,+,887
Rv0290,353083,354501,+,1418
Rv0291,354498,355883,+,1385
Rv0292,355880,356875,+,995
Rv0293c,356862,358064,-,1202
Rv0294,358171,358956,+,785
Rv0295c,358945,359748,-,803
Rv0296c,359758,361155,-,1397
